cartera,posiciones,invertido,valor,pnl,pnl_%,twr_anual_%,tir_anual_%,max_dd_%,vol_anual_%,sharpe
top 3,33,3300.0,5804.340701191531,2504.3407011915306,75.8891121573191,38.902121126735125,41.44520112860196,-35.566542859964386,33.70982909081292,1.1540290228685046
^KS11 (flujos de top 3),33,3300.0,6959.744128355101,3659.7441283551007,110.90133722288185,40.44602003130884,56.764239564405614,-34.823446857032245,39.22784332692219,1.031053879109143
SPY (flujos de top 3),33,3300.0,4293.898044254141,993.8980442541406,30.11812255315578,19.474106954797566,18.232016168755173,-23.103446211910097,17.391732770312924,1.1197335660561196
top 5,40,4000.0,7170.201654587202,3170.201654587202,79.25504136468004,39.566512671740675,41.493270769970614,-38.08510476607947,33.438196897667574,1.1832729136929203
^KS11 (flujos de top 5),40,4000.0,8384.009181351817,4384.0091813518175,109.60022953379544,40.45661132675418,54.22720504327463,-34.866720102212625,39.23013637916121,1.0312635912284125
SPY (flujos de top 5),40,4000.0,5297.335412743246,1297.3354127432458,32.43338531858115,19.542330695301203,18.85960358571789,-23.1064835665006,17.393088143557765,1.1235687724919334
top 10,62,6200.0,11123.187812886637,4923.187812886637,79.40625504655867,35.88501187307762,40.0411764359072,-39.87053915803473,33.42859410504935,1.0734825329569344
^KS11 (flujos de top 10),62,6200.0,12637.704904347567,6437.704904347567,103.83395007012206,40.71786831681572,49.87576412606563,-34.866720102212646,39.20463526477669,1.0385983198624116
SPY (flujos de top 10),62,6200.0,8346.402194828559,2146.402194828559,34.619390239170315,19.702392262515357,19.411212210298856,-23.04562531890515,17.395898825058765,1.1325883451411025
