cartera,posiciones,invertido,valor,pnl,pnl_%,twr_anual_%,tir_anual_%,max_dd_%,vol_anual_%,sharpe
top 3,83,8300.0,11777.644783419142,3477.644783419142,41.899334739989655,25.909500663575137,24.9887379302406,-29.248150438527187,23.889721697162663,1.0845459395473978
SPY (flujos de top 3),83,8300.0,10768.944678455357,2468.9446784553566,29.746321427172973,20.153529984440933,18.27523410141182,-22.939669844554434,17.03993999740231,1.1827230604986447
top 5,110,11000.0,15812.37652944925,4812.37652944925,43.748877540447715,26.163035418580826,25.315511884659447,-28.21382872202215,23.356790026591284,1.1201468775801249
SPY (flujos de top 5),110,11000.0,14467.80926696586,3467.80926696586,31.525538790598716,20.006171106029335,18.801312372096625,-22.95366814480677,17.037977841007805,1.174210419377207
top 10,200,20000.0,27717.270240854185,7717.2702408541845,38.58635120427092,24.19281186863924,23.651824163434533,-26.42220890144462,22.020142006232778,1.098667386513288
SPY (flujos de top 10),200,20000.0,26089.545841500527,6089.545841500527,30.447729207502626,19.971760985251443,19.048967631422087,-22.945224722398784,17.043453022777232,1.1718142420177857
