puesto,fwd_21,fwd_63,fwd_126,fwd_hoy,n
1,1.7588623308229638,7.2955091362042275,21.467826878402086,39.62333587457761,135
2,2.3969356363696788,4.352358861459205,16.072348725629123,33.633486143008106,135
3,0.3329765595247095,5.323383574367785,14.39813343636025,44.87228620496377,135
4,4.614483234320247,7.7945703634836825,14.956403500004855,46.38206532074244,135
5,1.937925792363961,5.690707907103562,12.294348948725421,36.292716890954146,135
6,3.000846926575982,8.636871142041324,18.132091986866488,39.225558032183535,135
7,0.8697663958716408,5.27481372652994,15.583544792630082,40.37383843607901,135
8,1.6807542867091931,6.770007703849772,13.489415698261901,28.629234048946678,135
9,3.266550730549171,8.518121296173717,18.553737356898818,42.56543752951904,135
10,0.7725780990824392,10.063022839220753,18.507194155090207,31.38639511513573,135
11,3.4965823692163562,10.57539572958243,20.06841302574955,38.10430735529059,135
12,2.69376346872815,6.873583829334122,15.482695986081648,31.990512195500425,135
13,-0.143650844348533,5.53474521396569,9.119000783848913,34.88496910793318,135
14,1.842436013395978,5.217143843750913,9.256843927245313,30.317944953114985,135
15,2.6127963066289324,8.348616101552878,16.936008981803496,36.756496811897854,135
16,2.493666761575514,7.61631397318538,17.8704137696199,39.433148186340766,135
17,2.0329696905747303,8.825059379014096,23.501793537220884,41.10568236553968,135
18,1.0965387477189885,8.935554176798785,14.768303215441101,31.974279206762567,135
19,3.5558045638346414,9.267895632754259,22.895775029622843,39.91392110718285,135
20,1.0623428330936704,7.171636155466689,18.302389925293685,32.98461722288226,135
