cartera,posiciones,invertido,valor,pnl,pnl_%,twr_anual_%,tir_anual_%,max_dd_%,vol_anual_%,sharpe
top 3,61,6100.0,9904.954813559878,3804.954813559878,62.37630841901441,30.197788076032573,35.01492361377515,-26.429634508043208,19.46949050115223,1.5510312442046406
EEM (flujos de top 3),61,6100.0,8704.135114238572,2604.135114238572,42.690739577681505,22.82871592560798,25.061734842791715,-18.249756674316053,20.988591311104255,1.0876726116216378
SPY (flujos de top 3),61,6100.0,8002.209214479017,1902.2092144790167,31.1837576144101,19.669807061880395,18.83733402379898,-23.040649404141867,16.8533979816789,1.167112239517703
top 5,91,9100.0,14505.8525397327,5405.852539732699,59.40497296409559,29.671229730853433,34.94075744681634,-24.498280145634187,18.351368227643786,1.616840192120272
EEM (flujos de top 5),91,9100.0,12862.727615929472,3762.7276159294724,41.348655120104084,22.70542207222812,25.363847007595343,-18.25007585064241,20.999332852704384,1.0812449248502682
SPY (flujos de top 5),91,9100.0,11876.186365334419,2776.186365334419,30.5075424762024,19.581545641580654,19.233363984145402,-22.977593950401808,16.87095467752312,1.1606661280211255
top 10,143,14300.0,21407.967929019866,7107.967929019866,49.706069433705345,24.189336322226286,29.742498654969552,-24.422907203153986,17.395851860206353,1.390523241782731
EEM (flujos de top 10),143,14300.0,20258.375263191745,5958.375263191745,41.666959882459764,22.832090717270525,25.412021514070705,-18.241359918300027,20.990105121687357,1.087754948577175
SPY (flujos de top 10),143,14300.0,18640.569664104034,4340.569664104034,30.353634014713514,19.676520088776208,19.044975006825705,-23.001230584248443,16.851759935851664,1.1676240442349846
