etiqueta,metrica,panel,ic_fwd_21,ic_trim_fwd_21,se_fwd_21,t_fwd_21,pos_fwd_21,ic_fwd_63,ic_trim_fwd_63,se_fwd_63,t_fwd_63,pos_fwd_63,ic_fwd_126,ic_trim_fwd_126,se_fwd_126,t_fwd_126,pos_fwd_126,ic_fwd_hoy,ic_trim_fwd_hoy,se_fwd_hoy,t_fwd_hoy,pos_fwd_hoy
A1 RS multi-ventana,rs_multi_window,mom,-0.012738403830644307,-0.10939269589142746,0.11872254778801072,-0.921414659048233,59.25925925925925,0.03382574334763816,0.030638399791195918,0.04760299226014909,0.6436234013138895,68.88888888888889,-0.0024620161693621467,0.0018408636545643928,0.046543020398791546,0.03955187348804268,48.38709677419355,-0.1413612652755121,-0.19123720266274477,0.07812400138674544,-2.447867483336436,29.629629629629626
A2 distancia a máximos,distance_to_high,mom,-0.021490357493908003,-0.030304946005647093,0.020129264310212586,-1.5055168206158371,48.148148148148145,-0.02402790567091544,-0.03202192428667182,0.023895374356267398,-1.3400888309696202,46.666666666666664,0.04978621659986028,0.09403634530342837,0.11226809959913883,0.8376052114464552,54.83870967741935,0.030092884117793456,-0.001960855442437126,0.06200524824861841,-0.03162402373706838,55.55555555555556
A3 RS vs sector,rs_vs_sector,mom,-0.06811916464503483,-0.1256442185895091,0.07544403118888375,-1.66539640856336,37.03703703703704,0.006844879997863043,0.00885147247622669,0.02630613111491463,0.3364794479872497,57.77777777777777,0.05481552358495672,0.05539005795812268,0.020611356625781053,2.687356245577732,64.51612903225806,-0.09136298675920677,-0.13697671507076742,0.06492076673008311,-2.1099059972638137,29.629629629629626
A4 momentum del sector,sector_momentum,mom,0.04672706552843712,-0.016562238245385264,0.07887693617990184,-0.20997567917204915,64.81481481481481,0.042113632979526305,0.03927613389473429,0.08859138644467385,0.4433403231505199,48.888888888888886,0.021761412258840995,0.039765693340175025,0.05349534369774132,0.7433486840435799,45.16129032258064,-0.007609713399023482,-0.04000299815617392,0.0647733619247826,-0.6175840957989334,46.2962962962963
A5 consistencia (FITP),consistency_fitp,mom,0.09488042946645171,0.16260386645461172,0.10345500372252242,1.5717351563848279,64.81481481481481,0.11969114741947869,0.161246078276297,0.09908071377034319,1.627421443996108,68.88888888888889,0.12006537505478752,0.18805169411330666,0.1556011443711193,1.208549557095741,58.06451612903226,0.39624651017413676,0.4020579440584401,0.021037424421737012,19.111557384515756,100.0
A6 momentum / ATR%,vol_adjusted_momentum,mom,-0.03528558486926206,-0.10624026836268478,0.0897848899688458,-1.1832755867891445,46.2962962962963,0.03954074612742298,0.0439022398986344,0.053974635720601516,0.8133864974261865,62.22222222222222,0.07882766093512034,0.09234053477838045,0.07590586989740093,1.216513754511919,61.29032258064516,-0.010537538400788868,-0.06981548646902214,0.09125632119690268,-0.7650482240937819,55.55555555555556
A7 acumulación (OBV),accumulation_obv,mom,-0.03565372818197688,-0.0993874721692863,0.08187042627847439,-1.213960604421789,53.70370370370371,-0.020050991178620223,-0.04913352269355395,0.06502039264955134,-0.755663272573193,53.333333333333336,0.05674173271374974,0.03357814832358741,0.051653961083382834,0.6500595040404279,61.29032258064516,-0.07093606379466089,-0.11996519604239889,0.07693579378855651,-1.5592897679342927,38.88888888888889
A8 reacción a resultados,pead_reaction,mom,-0.02178302310415371,-0.014205614272885272,0.054224339481537466,-0.26197855812927073,44.89795918367347,0.039094531708624314,0.07820248359591524,0.0965483683069034,0.8099824468014712,57.49999999999999,0.06227075337446246,0.10703126928591389,0.10774843228096993,0.9933440981007878,54.83870967741935,0.08477301279615461,0.08115956667925756,0.06149829940703805,1.3197042432358612,71.42857142857143
A9 precio vs MM20/50,price_vs_ma,mom,-0.013597381669148619,-7.59117242370877e-05,0.019795613460089526,-0.0038347750318592244,46.2962962962963,0.0031169201174592173,-0.013715963310583605,0.039445116659239846,-0.34772272139726834,51.11111111111111,0.0469637959484953,0.03594075147032721,0.054013760742004105,0.6653999087750555,58.06451612903226,-0.0376826519694736,-0.03958896003745009,0.045212179945089956,-0.8756259947105128,40.74074074074074
A10 proximidad de resultados,event_proximity,mom,,,,,,,,,,,,,,,,,,,,
