etiqueta,metrica,panel,ic_fwd_21,ic_trim_fwd_21,se_fwd_21,t_fwd_21,pos_fwd_21,ic_fwd_63,ic_trim_fwd_63,se_fwd_63,t_fwd_63,pos_fwd_63,ic_fwd_126,ic_trim_fwd_126,se_fwd_126,t_fwd_126,pos_fwd_126,ic_fwd_hoy,ic_trim_fwd_hoy,se_fwd_hoy,t_fwd_hoy,pos_fwd_hoy
A1 RS multi-ventana,rs_multi_window,mom,0.01939858361946476,0.00805596407120851,0.02117914559391991,0.38037247704275706,54.19847328244275,0.03864289509824146,0.032895113073984864,0.026197216320094315,1.2556720787449847,62.295081967213115,0.05543358390941989,0.05541668590556495,0.02045196037016159,2.709602644566786,72.47706422018348,0.04426112094624572,0.04453312326959968,0.028448095885271005,1.565416660897037,68.88888888888889
A2 distancia a máximos,distance_to_high,mom,-0.006989159047481333,-0.005328976038523197,0.020338050437799026,-0.2620200030883538,55.72519083969466,-0.029356505553734202,-0.03198748448495166,0.021631955674874387,-1.478714405933499,57.377049180327866,0.0034212815747707618,0.007452234548554935,0.023021523031830877,0.32370727767450697,67.88990825688074,-0.037957153205783835,-0.04214555321989666,0.021147521997910416,-1.9929310499859536,39.25925925925926
A3 RS vs sector,rs_vs_sector,mom,0.03860344352408263,0.021000197649970676,0.027753432094957526,0.7566702949789826,65.64885496183206,0.061889003902130535,0.05755018369764305,0.024785165589823105,2.321960831331843,77.04918032786885,0.07419073894121035,0.07386525550540575,0.017783427560153425,4.153600606831976,82.56880733944955,0.05821628825794435,0.05406279897583321,0.025424265906574386,2.126425170917256,80.0
A4 momentum del sector,sector_momentum,mom,-0.053534527625881206,-0.055534413506946795,0.013733864339246756,-4.043611625625874,34.35114503816794,-0.05910316085210908,-0.059751747665741185,0.017150286757118622,-3.484008664807884,31.147540983606557,-0.009356825043652324,-0.004054023089092782,0.015976587204961517,-0.2537477520752247,45.87155963302752,-0.005552705745229329,-0.001755016394175183,0.019975722141386588,-0.08785746926961215,45.18518518518518
A5 consistencia (FITP),consistency_fitp,mom,-0.013098811777767665,-1.6559435987954657e-05,0.03323116116024875,-0.0004983104835880103,48.091603053435115,-0.019443543520020378,-0.02059960665850976,0.03390497001254675,-0.6075689390342108,46.72131147540984,-0.011469810849963989,-0.00973038104588575,0.031203115349253508,-0.3118400498467707,51.37614678899083,-0.05744737464693084,-0.058882122441983875,0.015302234768621229,-3.847942691529448,13.333333333333334
A6 momentum / ATR%,vol_adjusted_momentum,mom,0.00887037673738466,-0.002737794733856572,0.018705777131715055,-0.14636091912026084,60.30534351145038,0.036287223133974415,0.030879783693569945,0.014829985976242185,2.082253060996803,69.67213114754098,0.0776439552034731,0.078615632862858,0.014134049906719397,5.562144847492277,87.1559633027523,0.02323750676668114,0.02115811152783759,0.02508806258587128,0.8433537446511752,66.66666666666666
A7 acumulación (OBV),accumulation_obv,mom,-0.004126782519125076,-0.014173542153518843,0.016714600940807907,-0.847973708957347,57.25190839694656,-0.013146805927589923,-0.01863382963829092,0.01500525480717877,-1.2418202741466395,50.0,0.021831041740378355,0.025088649401954204,0.012454608495906903,2.014406908912421,65.13761467889908,-0.00793072527523418,-0.01135522956605184,0.01730661245991163,-0.6561208666545609,57.03703703703704
A8 reacción a resultados,pead_reaction,mom,0.0001582563320006699,-0.013602271311689536,0.02017550282041623,-0.6741973884251831,52.307692307692314,-0.015498295972955888,-0.0200346640351529,0.015524270100098185,-1.2905382285912552,43.80165289256198,-0.0013113556495832613,-0.0009701039192077892,0.01328448741564484,-0.07302531809133408,54.629629629629626,-0.01909834296017909,-0.02249345707649879,0.016504027237125633,-1.362907171281201,39.55223880597015
A9 precio vs MM20/50,price_vs_ma,mom,0.008697264120021827,0.00942506307590982,0.012114679812925295,0.7779869729494715,56.48854961832062,-0.015287107769999881,-0.01763304529581202,0.021407482880119583,-0.8236860631656626,51.63934426229508,0.008748460036166096,0.012420010597677918,0.024640644590773846,0.504045685652571,56.88073394495413,0.0107349211673048,0.008524406950978869,0.02392836950156574,0.3562468788531989,60.74074074074074
A10 proximidad de resultados,event_proximity,mom,,,,,,,,,,,,,,,,,,,,
