puesto,fwd_21,fwd_63,fwd_126,fwd_hoy,n
1,7.705766922787389,28.566037426769952,51.56684413386087,57.166108229181624,135
2,5.554343295815538,14.09770606784749,29.1768436058991,57.609705462551354,135
3,5.714472580322987,14.49499188343045,26.316555855327685,56.27080571845684,135
4,4.432342956847573,11.447886152833458,31.554879738438295,74.04845807597465,135
5,6.85047196870745,13.964348261010324,28.831221551668563,48.17672437504082,135
6,2.475011433423326,17.98241449991322,37.12622727196129,67.66408543642441,135
7,2.576954364152067,13.245494174360099,36.095618787231246,65.11461501320518,135
8,4.771746949243034,14.969551283991086,39.22735196653646,74.62776531337433,135
9,2.5624821991421083,11.437476331429055,32.68833642662401,86.2691674757558,135
10,0.3645118944263873,7.803776998421361,33.475092119934814,86.87705791461913,134
11,2.4865119127632047,10.256137826140927,26.107736792120612,82.51867187186362,134
12,2.5678745407449273,12.70748475102286,29.792880345264184,80.19311663119244,130
13,2.6216138326471694,12.021316846789391,29.623495710560043,84.67701836391758,130
14,1.828157429159918,6.960459297472234,27.88984100751894,74.75158117241303,121
15,2.4546198894685727,9.382151408982017,23.441978494515734,93.01860539948288,116
16,4.809573721018467,17.967272684599276,36.85840177335378,126.7402436946429,104
17,0.5234431076430669,14.597278114613166,57.243316300287226,126.73371500582762,93
18,3.144685956370942,16.080304813690617,58.816358549092364,90.28111861913953,87
19,2.765296761018584,14.44245737506681,54.3636995805852,85.6452661928833,78
20,5.135431621253959,10.55474606115787,26.320596274171304,34.123300197698214,69
