etiqueta,metrica,panel,ic_fwd_21,ic_trim_fwd_21,se_fwd_21,t_fwd_21,pos_fwd_21,ic_fwd_63,ic_trim_fwd_63,se_fwd_63,t_fwd_63,pos_fwd_63,ic_fwd_126,ic_trim_fwd_126,se_fwd_126,t_fwd_126,pos_fwd_126,ic_fwd_hoy,ic_trim_fwd_hoy,se_fwd_hoy,t_fwd_hoy,pos_fwd_hoy
A1 RS multi-ventana,rs_multi_window,mom,0.016802255872152408,-0.005373854217562343,0.03857262646178067,-0.13931781966900741,54.961832061068705,0.05861087651303555,0.052106098874568074,0.04181447802997961,1.2461257757949222,60.16260162601627,0.03355788325058463,0.043790147371940376,0.049096719724833676,0.8919159491176928,59.63302752293578,0.1248980861299472,0.13133245935739016,0.03141009285475142,4.181218437166238,81.48148148148148
A2 distancia a máximos,distance_to_high,mom,0.041479834364051,0.042355349727649164,0.012633561515665307,3.3526056508395965,61.06870229007634,0.029372569894016584,0.02477166012052512,0.03609206222467881,0.686346487111698,63.41463414634146,0.042923524431349565,0.03618830422512278,0.03198449580061157,1.1314326932247851,65.13761467889908,-0.06747960915091018,-0.07317202351865584,0.030479624579845817,-2.4006865086861904,32.592592592592595
A3 RS vs sector,rs_vs_sector,mom,0.03313503001079239,0.007765678452377734,0.036197325142854224,0.21453735660660467,59.541984732824424,0.07916036772999745,0.06875389685774762,0.04409989935614438,1.5590488382411292,73.17073170731707,0.08463772269621836,0.0971147847834503,0.05134683197587512,1.8913491065832235,66.05504587155964,0.057526191566421754,0.056097429047421654,0.05000897527917473,1.1217472210589834,57.77777777777777
A4 momentum del sector,sector_momentum,mom,-0.03241274531412471,-0.045860936402522506,0.031754826958778196,-1.4442193768542917,43.51145038167939,-0.01740858325836207,-0.019023861854959436,0.03967653115506421,-0.4794739182367075,46.34146341463415,-0.003417272854423657,-0.004356447501272117,0.036813550622341186,-0.11833815069791997,45.87155963302752,0.05267574907587941,0.058338889059161264,0.03150318501920707,1.8518409812719834,56.2962962962963
A5 consistencia (FITP),consistency_fitp,mom,-0.03158092055471604,0.0005232376197661068,0.051292995953235984,0.010200956486206118,40.458015267175576,-0.034337077846512194,-0.036797508835017145,0.06965809540204368,-0.5282588997392764,45.52845528455284,-0.004595432446827402,-0.029035765590148328,0.08281515679144488,-0.35060931736529455,58.71559633027523,-0.21626717631218106,-0.214149333457062,0.052003689560514384,-4.117964230362269,9.62962962962963
A6 momentum / ATR%,vol_adjusted_momentum,mom,0.008989928133195654,-0.014735646578505845,0.040872240982104645,-0.3605294504149564,54.961832061068705,0.07909805456385326,0.06718303015886193,0.04127399872436869,1.6277325249611985,73.17073170731707,0.10412486241438333,0.10850173702576917,0.04080407794324016,2.6590905246455687,72.47706422018348,0.04086910146227924,0.040482242182092426,0.042821083785516835,0.9453810740723133,54.074074074074076
A7 acumulación (OBV),accumulation_obv,mom,0.019156426391333845,0.01805793812721093,0.011495904786981507,1.5708148651040126,64.12213740458014,0.027869900401480855,0.02691911360336069,0.023633234340447503,1.1390363762986733,60.16260162601627,0.027525753068327784,0.0285631593883429,0.02314214649251735,1.234248491062761,59.63302752293578,0.016578134250213334,0.015569860425026812,0.01894814644141898,0.8217088923797036,56.2962962962963
A8 reacción a resultados,pead_reaction,mom,0.03238318167180124,0.021512144922167496,0.017059959354112916,1.2609728121644803,62.99212598425197,0.04588485444355934,0.04326259153717943,0.013336264795387548,3.243981144716183,72.26890756302521,0.052935427709802536,0.047723626990447056,0.01870258561030862,2.551712794413967,71.96261682242991,0.043881769399545745,0.04655167896620058,0.01886200958878648,2.468012686934254,66.41221374045801
A9 precio vs MM20/50,price_vs_ma,mom,0.036697454990753914,0.02723414011408981,0.014987995813064984,1.817063498933587,62.59541984732825,0.034230486482034056,0.02864047196976276,0.032023241259362636,0.8943651811444647,61.78861788617886,0.037412197620138754,0.03913296366308701,0.03611302593711355,1.0836246104447826,61.46788990825688,0.03125332735019916,0.022623278700137098,0.038414130332102114,0.5889311694564425,61.48148148148148
A10 proximidad de resultados,event_proximity,mom,,,,,,,,,,,,,,,,,,,,
B1 crecimiento revenue Y/Y,revenue_growth_level,qua,0.005182364135854132,0.014518020068070077,0.019112261212302088,0.7596181271698603,55.46218487394958,-0.007830990675708036,-0.015159356926660233,0.022578937849941045,-0.6713937133539617,51.35135135135135,-0.017050570819456285,-0.01306114872631413,0.021320216044908618,-0.6126180287667958,39.175257731958766,-0.032468156946526903,-0.04870701070210381,0.03429446013212063,-1.4202588556419407,31.70731707317073
B2 tendencia y duración,growth_trend_duration,qua,0.016269149443249042,0.01641283675317543,0.02733671463709937,0.6003953646610166,53.52112676056338,-0.0007323707059494233,0.0048488323010316,0.031810677911690344,0.15242782044734943,39.682539682539684,0.011576898317834839,0.043232007657375324,0.04693502401651389,0.9211033458119532,55.10204081632652,0.05859939201229209,0.0783840523902108,0.028428569381588685,2.7572281720576135,81.33333333333333
B4 calidad de caja,cash_quality_fcf_ni,qua,0.0011808051072866488,0.0024332423383286294,0.013813374849876358,0.17615118425244278,54.19847328244275,0.0035610417716012695,0.0014400371941572596,0.03146995190865158,0.04575911645296703,55.28455284552846,-0.0014580207798582884,0.0004903676827179185,0.03859342388496758,0.01270599064181295,52.293577981651374,-0.11044595433700437,-0.10700440690522438,0.03331828664655066,-3.2115819171722686,24.444444444444443
B5 ROIC,roic_vs_sector,qua,0.015628547115215063,0.02051086053259503,0.020616083003447715,0.9948960978263869,60.30534351145038,0.018868943875537236,0.009295575333027339,0.027113642586982536,0.34283756980296753,56.09756097560976,0.00471072931237285,-0.0013288748407075746,0.021454926319739637,-0.06193798202350111,54.12844036697248,-0.029483031768237203,-0.026660172725254127,0.024996358807612057,-1.0665622513441995,36.2962962962963
