regla,posiciones,invertido,valor,pnl,pnl_%,ganadoras_%,cerradas,mejor_%,peor_%
sin stop,116,11600.0,16213.645940991732,4613.645940991732,39.77280983613562,69.82758620689656,0,460.0413001398539,-53.66279254303492
+20% fijo,208,20800.0,22971.06904349415,2171.06904349415,10.43783193987573,79.32692307692307,157,38.33267363072564,-53.888714924789724
trailing 15%,167,16700.0,17459.23683813338,759.2368381333799,4.546328372056174,44.31137724550898,156,153.4630118498244,-28.69092920944807
trailing ATR k=3,167,16700.0,17334.61729735625,634.6172973562498,3.8001035769835267,46.10778443113773,157,144.02836466949026,-46.997279235294585
híbrido -8% / ATR,172,17200.0,18003.26202653577,803.2620265357691,4.670128061254464,46.51162790697674,162,144.02836466949026,-28.69092920944807
