symbol,entrada,invertido,valor,ret_%,estado
LYV,2024-11-25,100.0,93.08957053505888,-6.910429464941115,stop duro -8% 2025-01-02
IDCC,2024-10-14,100.0,123.34517674377247,23.345176743772477,ATR×3 2025-01-13
NFLX,2024-10-21,100.0,114.51568021676798,14.515680216767969,ATR×3 2025-01-10
SHOP,2024-12-02,100.0,94.00103770057625,-5.998962299423749,stop duro -8% 2025-01-10
KNF,2024-12-16,100.0,92.15572433477884,-7.844275665221156,stop duro -8% 2025-01-07
TAC,2024-10-07,100.0,107.76914061689814,7.769140616898151,ATR×3 2025-01-27
BKNG,2024-12-23,100.0,91.47044571962549,-8.529554280374507,stop duro -8% 2025-01-22
EXPE,2024-12-30,100.0,91.93504710829687,-8.064952891703125,stop duro -8% 2025-01-24
EME,2025-01-21,100.0,81.20365731560018,-18.796342684399814,stop duro -8% 2025-01-27
AGX,2025-01-13,100.0,84.00481502884745,-15.995184971152554,ATR×3 2025-01-29
COR,2024-02-05,100.0,107.93856851845624,7.938568518456246,ATR×3 2025-02-14
PEGA,2024-12-16,100.0,88.75286113324398,-11.247138866756012,ATR×3 2025-02-13
CVSA,2024-08-05,100.0,137.79514437395713,37.79514437395712,ATR×3 2025-02-21
META,2024-10-28,100.0,119.20714411855825,19.20714411855824,ATR×3 2025-02-24
VST,2025-01-06,100.0,90.05378717703397,-9.946212822966027,ATR×3 2025-02-21
APP,2025-02-18,100.0,91.28814705055294,-8.711852949447064,stop duro -8% 2025-02-20
BROS,2025-02-18,100.0,89.01239145869214,-10.98760854130787,stop duro -8% 2025-02-21
FTDR,2025-01-27,100.0,75.46496453575453,-24.535035464245468,stop duro -8% 2025-02-27
COCO,2025-01-27,100.0,88.39408270444673,-11.605917295553269,stop duro -8% 2025-02-26
APP,2025-02-24,100.0,91.98338700909369,-8.016612990906314,stop duro -8% 2025-02-25
FTNT,2024-11-11,100.0,103.89563973436898,3.895639734368994,ATR×3 2025-03-06
LRN,2025-01-13,100.0,104.00049457853598,4.000494578535974,ATR×3 2025-03-10
LYV,2025-01-27,100.0,96.18737527863011,-3.812624721369884,ATR×3 2025-03-05
SHOP,2025-02-03,100.0,86.92031920394632,-13.079680796053683,ATR×3 2025-03-04
SPOT,2025-02-10,100.0,90.08741341339231,-9.912586586607686,stop duro -8% 2025-03-04
APP,2025-03-03,100.0,74.2468533321185,-25.7531466678815,stop duro -8% 2025-03-06
EMBJ,2025-03-03,100.0,94.34707834435476,-5.652921655645249,ATR×3 2025-03-25
DASH,2025-03-10,100.0,90.21372886720843,-9.786271132791569,ATR×3 2025-04-04
SPOT,2025-03-17,100.0,83.00065484876527,-16.999345151234735,stop duro -8% 2025-04-04
IDCC,2025-02-10,100.0,82.96912003341193,-17.030879966588074,stop duro -8% 2025-04-17
AGI,2025-03-17,100.0,92.18494302816842,-7.81505697183158,ATR×3 2025-05-02
PPC,2025-04-07,100.0,91.66159383825656,-8.338406161743439,ATR×3 2025-05-01
AEM,2025-03-17,100.0,97.98380503132113,-2.016194968678875,ATR×3 2025-05-12
LRN,2025-03-10,100.0,111.96171111294575,11.96171111294575,ATR×3 2025-06-03
CVSA,2025-03-31,100.0,114.44405266471303,14.444052664713025,ATR×3 2025-06-09
SFM,2025-04-14,100.0,96.56976904767376,-3.430230952326241,ATR×3 2025-06-12
HURN,2025-03-10,100.0,86.42153062671827,-13.578469373281731,stop duro -8% 2025-06-20
AGX,2025-05-27,100.0,94.4648164365384,-5.535183563461599,ATR×3 2025-07-02
MELI,2025-06-30,100.0,91.87755571475894,-8.122444285241059,stop duro -8% 2025-07-10
NRG,2025-05-19,100.0,87.35588569803762,-12.644114301962372,stop duro -8% 2025-07-15
SPOT,2025-04-21,100.0,117.8439136828858,17.843913682885805,ATR×3 2025-07-22
DAVE,2025-05-12,100.0,110.62724894455073,10.627248944550738,ATR×3 2025-08-06
NRG,2025-07-28,100.0,92.89377037792627,-7.106229622073723,stop duro -8% 2025-08-22
LTM,2025-09-08,100.0,87.28298303481108,-12.717016965188922,stop duro -8% 2025-09-25
SRAD,2024-11-25,100.0,136.14828049804862,36.148280498048614,ATR×3 2025-09-30
MLCO,2025-08-25,100.0,88.80639069043367,-11.193609309566321,stop duro -8% 2025-10-03
RSI,2025-09-02,100.0,90.08954400692637,-9.91045599307363,stop duro -8% 2025-10-02
YOU,2025-09-15,100.0,88.22292799769052,-11.777072002309485,stop duro -8% 2025-09-30
SBS,2025-05-19,100.0,107.55632370695484,7.556323706954848,ATR×3 2025-10-08
NEM,2025-06-23,100.0,131.1876044629155,31.187604462915488,ATR×3 2025-10-27
APP,2025-09-08,100.0,101.62009442825595,1.620094428255947,ATR×3 2025-10-21
EME,2025-07-28,100.0,103.98224243179301,3.982242431793015,ATR×3 2025-10-30
KGC,2025-03-31,100.0,168.04181249062302,68.04181249062302,ATR×3 2025-11-04
PRIM,2025-08-11,100.0,105.25997181200702,5.259971812007014,ATR×3 2025-11-13
VRT,2025-10-27,100.0,90.21847002658207,-9.781529973417936,stop duro -8% 2025-11-12
WGS,2025-11-10,100.0,91.01584639136547,-8.984153608634527,stop duro -8% 2025-11-13
IDCC,2025-05-05,100.0,151.61974266673826,51.619742666738254,ATR×3 2025-11-20
AGX,2025-11-24,100.0,83.36002213209622,-16.639977867903777,stop duro -8% 2025-12-05
AXIA,2025-11-03,100.0,85.22641767496168,-14.773582325038316,ATR×3 2025-12-22
PTGX,2025-11-17,100.0,98.54618049024651,-1.4538195097534845,ATR×3 2026-01-05
NEM,2025-12-15,100.0,110.55109415389053,10.551094153890528,ATR×3 2026-01-30
AUPH,2025-11-17,100.0,89.90660989614884,-10.093390103851164,stop duro -8% 2026-02-13
LTM,2026-01-05,100.0,101.68202154003087,1.6820215400308758,ATR×3 2026-02-19
ARWR,2025-12-01,100.0,107.92132539873408,7.9213253987340915,ATR×3 2026-02-25
GVA,2025-08-11,100.0,116.10349991830898,16.103499918308994,ATR×3 2026-03-06
AU,2026-02-23,100.0,90.6013270367239,-9.3986729632761,stop duro -8% 2026-03-05
PAAS,2026-02-23,100.0,93.40681203677622,-6.593187963223778,stop duro -8% 2026-03-06
KGC,2025-11-10,100.0,120.54380306607246,20.543803066072464,ATR×3 2026-03-13
KRYS,2025-12-08,100.0,109.22248575474748,9.222485754747488,ATR×3 2026-03-11
B,2026-02-09,100.0,93.98053286193989,-6.019467138060108,stop duro -8% 2026-03-13
IAG,2026-02-23,100.0,89.49398939120448,-10.506010608795524,stop duro -8% 2026-03-13
AEM,2026-02-23,100.0,93.20663555896313,-6.793364441036875,stop duro -8% 2026-03-12
EFXT,2026-03-02,100.0,91.8806324408401,-8.119367559159896,stop duro -8% 2026-03-12
CGAU,2025-11-03,100.0,133.89196692630864,33.89196692630865,ATR×3 2026-03-20
BVN,2025-12-15,100.0,125.02666383046153,25.026663830461526,ATR×3 2026-03-18
WWD,2025-07-14,100.0,138.42587392573816,38.42587392573815,ATR×3 2026-03-30
AGX,2026-03-09,100.0,87.80205190290195,-12.197948097098044,stop duro -8% 2026-03-26
VRT,2026-03-16,100.0,88.05460653221414,-11.945393467785859,stop duro -8% 2026-03-30
CF,2026-03-30,100.0,90.1592938605746,-9.840706139425393,stop duro -8% 2026-04-08
FIVE,2026-03-23,100.0,88.7023012930824,-11.297698706917602,stop duro -8% 2026-05-11
AEIS,2026-02-17,100.0,100.4143134085697,0.4143134085696998,ATR×3 2026-05-18
ZIM,2026-02-17,100.0,91.58178529597835,-8.418214704021654,stop duro -8% 2026-05-28
FTI,2026-03-09,100.0,105.35853338852971,5.358533388529718,ATR×3 2026-05-27
EFXT,2026-03-16,100.0,117.81226256057197,17.812262560571956,ATR×3 2026-05-29
DELL,2026-06-01,100.0,90.5766967527333,-9.423303247266702,stop duro -8% 2026-06-03
NBIS,2026-06-01,100.0,86.39415281874533,-13.60584718125467,stop duro -8% 2026-06-05
YOU,2026-04-20,100.0,93.34345281816613,-6.656547181833872,stop duro -8% 2026-06-10
STRL,2026-06-08,100.0,86.26891874064833,-13.731081259351674,stop duro -8% 2026-06-10
POWL,2026-03-30,100.0,140.37629368371964,40.376293683719645,ATR×3 2026-07-07
CGNX,2026-07-06,100.0,92.23830635561356,-7.761693644386436,stop duro -8% 2026-07-13
SPHR,2026-02-17,100.0,124.33379372817991,24.33379372817992,ATR×3 2026-07-14
VICR,2026-02-23,100.0,139.24240100474998,39.24240100474998,ATR×3 2026-07-20
AGX,2026-03-30,100.0,106.81236301628319,6.812363016283185,ATR×3 2026-07-16
MU,2026-04-27,100.0,166.02537409064803,66.02537409064804,ATR×3 2026-07-16
SNDK,2026-05-04,100.0,104.74363756328975,4.743637563289749,ATR×3 2026-07-27
KLIC,2026-05-11,100.0,100.69670219350463,0.6967021935046391,ATR×3 2026-07-24
ALAB,2026-05-26,100.0,93.57989649985292,-6.4201035001470785,ATR×3 2026-07-24
