puesto,fwd_21,fwd_63,fwd_126,fwd_hoy,n
1,1.3266069335192756,7.028708899518072,21.279153420738496,41.57762435630038,136
2,3.7245758950918075,7.276258303450062,20.297566257876433,38.91728802022025,136
3,4.139176222291961,8.952397471355638,20.797363254125926,53.86328189140546,136
4,2.341879393794441,7.66625813210686,16.105326390049864,51.87227853030394,136
5,3.440658029131688,6.068463067281935,11.426496367833188,31.0881331607647,136
6,1.789832286551866,9.958392247976503,17.878039535405733,39.87028321237205,136
7,2.2823962705158154,6.964061268172325,17.823254975327107,39.16169618545907,136
8,1.0129294220110445,4.479972594030459,13.320332025512238,28.603063245583733,136
9,4.015450618030715,11.741442530455327,20.993874964851848,40.93661333625441,136
10,3.1258592496197593,8.832443382715592,18.216551250985844,31.744994907676038,136
11,1.5108946859431407,8.08295952261073,15.39223123019015,31.985719951691603,136
12,3.8312910871873314,12.040071544969305,24.430201170031438,44.01173535650011,136
13,2.959349504123682,11.37056324057798,22.453261199340623,40.84674562966525,136
14,2.8612913248920395,6.138792317526166,20.15589965275644,33.8277308154707,136
15,0.6501354894791282,7.980488942407129,22.95046460240925,43.804163872929394,136
16,2.700724177762056,7.956128722946571,16.86341086402902,27.112811091852656,136
17,2.1678167550327276,7.684275045538789,13.367803011853246,46.43946025723495,136
18,1.0601381560079046,5.539373767294849,14.56204858994283,25.363022910544526,136
19,0.9970952337461897,9.541204273249207,20.393805943432174,38.46273082500244,136
20,2.216967901796003,6.351009854924817,14.303120057379354,26.774241777487596,136
