cartera,posiciones,invertido,valor,pnl,pnl_%,twr_anual_%,tir_anual_%,max_dd_%,vol_anual_%,sharpe
top 3,82,8200.0,11338.575704785924,3138.5757047859242,38.27531347299909,25.61393321638463,23.393053796704834,-27.749980879413727,23.734773226319394,1.079173286053622
SPY (flujos de top 3),82,8200.0,10534.975429059523,2334.975429059523,28.47531011048199,19.59342045082717,17.838161751547833,-22.94080003298142,17.03072687870305,1.1504747031865545
top 5,116,11600.0,16213.645940991724,4613.645940991724,39.77280983613556,25.509355509074005,23.924614006981216,-27.514397158809455,23.286007803927976,1.0954799862590008
SPY (flujos de top 5),116,11600.0,15021.099034458039,3421.0990344580387,29.492233055672745,19.517878281787926,18.21297261634568,-22.95904467909017,17.036127984719013,1.145675725099916
top 10,185,18500.0,25538.158970462584,7038.158970462584,38.04410254304101,24.75841010453785,23.173316224866213,-26.00050744143667,22.153659789427238,1.1175765241440478
SPY (flujos de top 10),185,18500.0,23936.038047999853,5436.038047999853,29.383989448647863,19.421724871218736,18.308446683559186,-22.944272453754312,17.03997819278388,1.139774044983431
