etiqueta,metrica,panel,ic_fwd_21,t_fwd_21,pos_fwd_21,ic_fwd_63,t_fwd_63,pos_fwd_63,ic_fwd_126,t_fwd_126,pos_fwd_126,ic_fwd_hoy,t_fwd_hoy,pos_fwd_hoy
A1 RS multi-ventana,rs_multi_window,mom,0.019106828373946116,0.4345437924802697,56.81818181818182,0.0379020129022708,1.0444422579689052,64.22764227642277,0.06056305627021885,2.6606486572833323,77.27272727272727,0.051579090007667125,1.9392561593573057,68.38235294117648
A2 distancia a máximos,distance_to_high,mom,-0.004512209791648849,-0.256912989459618,54.54545454545454,-0.02724670683049467,-1.4492624898525508,48.78048780487805,0.0028037058671994347,0.2663043472165981,62.727272727272734,-0.04087109842347735,-2.1627256760461715,36.76470588235294
A3 RS vs sector,rs_vs_sector,mom,0.036712024446824226,0.8331871536690507,68.18181818181817,0.05985150000217964,2.4324661277866966,78.04878048780488,0.07616055587787962,4.318457840035137,81.81818181818183,0.06218104523841645,2.0509123989201963,79.41176470588235
A4 momentum del sector,sector_momentum,mom,-0.04484884982845901,-3.554958748114496,37.121212121212125,-0.04934360691366842,-2.2361915102389234,37.39837398373984,0.007690259390243492,0.428292145694872,49.09090909090909,-0.0007369133818652004,0.11522865271550554,52.94117647058824
A5 consistencia (FITP),consistency_fitp,mom,-0.011168665335255408,-0.011989965244033625,47.72727272727273,-0.01871499492854412,-0.4723355666115645,46.34146341463415,-0.015295000386593184,-0.423828651978899,50.90909090909091,-0.06411595313789063,-4.101628749823172,11.029411764705882
A6 momentum / ATR%,vol_adjusted_momentum,mom,0.011284393275692245,-0.06490975421710328,59.09090909090909,0.036821269575777596,1.9581865838692356,71.54471544715447,0.079560249037994,5.095797587845919,83.63636363636363,0.022817653535916724,0.6777547570436799,63.23529411764706
A7 acumulación (OBV),accumulation_obv,mom,-0.0008409332193750417,-0.7046756655950799,58.333333333333336,-0.010889443612970957,-1.1425924866384696,56.09756097560976,0.022694588353380993,2.553519527341733,67.27272727272727,-0.004633536378132028,-0.5313905572651471,58.08823529411765
A8 reacción a resultados,pead_reaction,mom,0.0008240847914098105,-0.652974385372807,50.0,-0.020223374396864786,-1.5266236607801673,42.14876033057851,-0.010810067294712492,-0.8569840168699424,39.81481481481482,-0.02174035709543038,-1.6441358401294008,28.35820895522388
A9 precio vs MM20/50,price_vs_ma,mom,0.010078346774911782,0.7924537728156024,60.60606060606061,-0.01195669803155455,-0.654421254489491,50.40650406504065,0.013200213855006202,0.6278286291407161,57.27272727272727,0.01354544082197899,0.3767446568036332,60.29411764705882
A10 proximidad de resultados,event_proximity,mom,,,,,,,,,,,,
B1 crecimiento revenue Y/Y,revenue_growth_level,qua,0.02623798956243057,1.3808344627109856,61.904761904761905,0.047613789325634384,1.5018530373217849,64.1025641025641,0.06854654721591108,1.8885540925057167,73.07692307692307,0.005587294957258131,0.8253407005718438,54.61538461538461
B2 tendencia y duración,growth_trend_duration,qua,0.004654237131951599,0.1578379663701828,46.57534246575342,0.01281069037207332,0.301493059305698,56.25,0.0036945303428226666,0.48646896133151313,43.13725490196079,-0.00903005719450836,-0.27475408372470006,35.064935064935064
B3 sorpresa 4T,earnings_surprise_4q,qua,0.02252164196780535,2.0862368833956193,62.121212121212125,0.023179178499797396,1.4621102231844612,61.78861788617886,0.0312589575885765,2.0348193075501575,60.909090909090914,0.03440848272828484,2.9208273238118054,78.67647058823529
B4 calidad de caja,cash_quality_fcf_ni,qua,-0.0020753161726964797,-0.1308464501989179,40.909090909090914,-0.008462254901507808,-0.6823698204435115,39.02439024390244,-0.00565681044545093,-0.3576102331273921,50.0,-0.02109894125423404,-1.9061013532518651,37.5
B5 ROIC,roic_vs_sector,qua,-0.0004807409195368819,-0.2177933197458549,50.0,-0.00680810948981393,-0.3045641875151645,39.83739837398374,-0.03391723490140451,-1.919260637476586,29.09090909090909,-0.028723959530229607,-2.163093547869103,32.35294117647059
B6 expansión de márgenes,margin_expansion,qua,0.027518745539866454,1.6522229180878,61.904761904761905,0.04982977247793185,1.976985417242164,76.06837606837607,0.07064012491863379,2.6704626371725206,75.0,-0.003426982251017987,-0.12426814383671905,50.0
B7 dilución/SBC,dilution_sbc,qua,-0.007625492950100254,-0.4379021650600752,46.96969696969697,-0.011805856814358695,-0.36695476236454094,36.58536585365854,-0.0182452443878595,-0.982972670866217,35.45454545454545,0.006048511630854442,0.17258023314077323,58.82352941176471
B9 net debt/EBITDA,balance_health,qua,-0.002567044841751292,-0.42188877793427715,43.18181818181818,-0.0006533592483017726,-0.2927070579693115,45.52845528455284,-0.014493653803189219,-0.7991446483279835,37.27272727272727,-0.025850276742375028,-5.2046549291032,18.38235294117647
B10 valoración EV,valuation_ev_pct,qua,0.017003800106567903,1.861772679191994,51.515151515151516,0.02253448021910894,1.6325222963084436,56.09756097560976,0.030717682847036187,1.253580795471032,53.63636363636364,0.07827626202380111,3.415830735858205,88.97058823529412
